case_id,crime_type,date,time,area,city,latitude,longitude,description,severity,status
1,Vehicle Theft,2026-01-15,23:30,Koramangala,Bangalore,12.9352,77.6245,"Black sedan stolen from residential parking lot. No CCTV coverage. Witnesses reported suspicious male loitering near the parking area around 11 PM.",High,Open
2,Burglary,2026-01-18,02:15,Indiranagar,Bangalore,12.9784,77.6408,"House break-in through back window. Jewellery and cash worth 2 lakhs stolen. Lock was picked. Footprints found near the rear entrance.",High,Open
3,Chain Snatching,2026-01-20,18:45,MG Road,Bangalore,12.9757,77.6062,"Gold chain snatched from a woman walking near the bus stop. Two men on a motorcycle. Victim reported partial number plate.",Medium,Under Investigation
4,Vehicle Theft,2026-01-22,22:00,Koramangala,Bangalore,12.9340,77.6230,"Red motorcycle stolen from outside a restaurant. Owner was inside for 30 minutes. Nearby shopkeeper noticed two youths tampering with the vehicle.",High,Open
5,Assault,2026-01-25,21:30,Jayanagar,Bangalore,12.9250,77.5938,"Victim attacked with a sharp weapon near a park. Dispute over a financial matter. Victim sustained injuries to the arm. Assailant fled on foot.",High,Under Investigation
6,Robbery,2026-02-01,23:00,Electronic City,Bangalore,12.8456,77.6603,"Armed robbery at a convenience store. Two masked men with knives demanded cash. Approximately 50000 rupees taken. Store CCTV footage available.",Critical,Under Investigation
7,Burglary,2026-02-03,03:30,Whitefield,Bangalore,12.9698,77.7500,"Apartment burglarized while family was out of town. Electronics and cash stolen. Entry through unlocked balcony door on first floor.",Medium,Open
8,Drug Possession,2026-02-05,16:00,Majestic,Bangalore,12.9767,77.5713,"Suspect apprehended with 200 grams of marijuana near the bus station. Acting suspiciously. No prior criminal record found on initial check.",Medium,Closed
9,Vehicle Theft,2026-02-08,01:00,HSR Layout,Bangalore,12.9116,77.6389,"White SUV stolen from apartment basement parking. Security guard was away from duty. CCTV shows two men breaking the car lock at 12:50 AM.",High,Open
10,Fraud,2026-02-10,14:00,BTM Layout,Bangalore,12.9166,77.6101,"Online payment fraud. Victim received a fake bank call and shared OTP. 1.5 lakhs transferred to unknown account. Phone number traced to a prepaid SIM.",High,Under Investigation
11,Chain Snatching,2026-02-12,19:15,Jayanagar,Bangalore,12.9271,77.5832,"Elderly woman's gold chain snatched by two men on a motorcycle near the temple. Similar MO to the MG Road incident. Partial plate number noted.",Medium,Under Investigation
12,Assault,2026-02-14,22:45,Koramangala,Bangalore,12.9356,77.6260,"Group altercation outside a pub. Three individuals sustained minor injuries. Triggered by a verbal argument. Bouncers intervened before police arrived.",Medium,Closed
13,Burglary,2026-02-16,04:00,Indiranagar,Bangalore,12.9800,77.6420,"Office break-in. Laptops and projector stolen. Lock was drilled. Similar method to the January house burglary in the same area.",High,Open
14,Vandalism,2026-02-18,23:30,Marathahalli,Bangalore,12.9591,77.6974,"Multiple parked vehicles damaged with rocks. Approximately 8 cars affected. Believed to be gang-related. No witnesses came forward.",Low,Open
15,Robbery,2026-02-20,20:30,KR Puram,Bangalore,12.9983,77.6963,"Pedestrian robbed at knifepoint near the railway station. Wallet and phone taken. Victim described the attacker as approximately 25 years old with a scar on the left cheek.",High,Under Investigation
16,Vehicle Theft,2026-02-22,00:30,Koramangala,Bangalore,12.9348,77.6255,"Blue motorcycle stolen from a gated community. CCTV shows the thief entered through the side gate. Similar build and clothing to the January Koramangala thefts.",High,Open
17,Fraud,2026-02-25,11:00,Electronic City,Bangalore,12.8490,77.6620,"Employee embezzlement case. Accountant siphoned 5 lakhs over 3 months through falsified invoices. Discovered during internal audit.",Critical,Under Investigation
18,Drug Possession,2026-03-01,22:00,Majestic,Bangalore,12.9780,77.5720,"Raid near bus station recovered 500 grams of methamphetamine. Three suspects arrested. Connection to earlier marijuana case suspected.",Critical,Closed
19,Chain Snatching,2026-03-03,17:30,BTM Layout,Bangalore,12.9170,77.6110,"Woman's gold chain snatched while exiting an auto-rickshaw. Two men on a bike with no license plate. Third incident with similar motorcycle description.",Medium,Open
20,Assault,2026-03-05,01:00,Whitefield,Bangalore,12.9710,77.7490,"Domestic violence complaint. Victim sustained bruises. Neighbors called police after hearing loud altercation. Restraining order requested.",High,Under Investigation
21,Burglary,2026-03-07,03:00,HSR Layout,Bangalore,12.9120,77.6400,"Ground floor house burgled. Thief entered through an open window. Stole laptop and gold ornaments. Dog in the house did not bark suggesting familiarity.",Medium,Open
22,Robbery,2026-03-10,21:00,Jayanagar,Bangalore,12.9260,77.5940,"Jewelry shop robbery. Three armed men entered at closing time. Tied up the shopkeeper and stole gold worth 10 lakhs. Vehicle seen fleeing towards Bannerghatta Road.",Critical,Under Investigation
23,Vehicle Theft,2026-03-12,02:30,Marathahalli,Bangalore,12.9580,77.6980,"Auto-rickshaw stolen from a stand at night. Driver reported it missing in the morning. Third auto theft this month in the area.",Medium,Open
24,Cybercrime,2026-03-14,10:00,Electronic City,Bangalore,12.8470,77.6610,"Ransomware attack on a small IT company. Systems encrypted and 2 Bitcoin ransom demanded. Company had no backups. 15 systems affected.",Critical,Under Investigation
25,Fraud,2026-03-16,15:30,Indiranagar,Bangalore,12.9790,77.6415,"Real estate fraud. Fake property documents used to sell a plot to two different buyers. Suspect absconded. Losses estimated at 30 lakhs.",Critical,Open
26,Vandalism,2026-03-18,00:15,MG Road,Bangalore,12.9760,77.6070,"Shop windows smashed and walls spray-painted. Appears politically motivated based on slogans. Three shops affected along the same street.",Low,Closed
27,Chain Snatching,2026-03-20,18:00,Koramangala,Bangalore,12.9345,77.6250,"Chain snatching near the water tank junction. Two men on a red motorcycle. Victim chased but lost them. CCTV from nearby ATM being reviewed.",Medium,Under Investigation
28,Assault,2026-03-22,23:15,MG Road,Bangalore,12.9755,77.6058,"Tourist assaulted and robbed outside a nightclub. Sustained head injury. Wallet and passport stolen. Two suspects seen on CCTV.",High,Under Investigation
29,Burglary,2026-03-25,02:45,Koramangala,Bangalore,12.9355,77.6248,"Electronics store burglarized. Alarm system was disabled. Phones and laptops worth 8 lakhs stolen. Professional job with clean entry and exit.",Critical,Open
30,Drug Possession,2026-03-28,19:00,KR Puram,Bangalore,12.9990,77.6970,"Traffic stop led to discovery of 1 kg of hashish in the vehicle. Driver arrested. Vehicle registered to a known offender from Majestic area.",High,Under Investigation
